127.0.0.1 - - [08/Jul/2025 22:21:13] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 22:48:00] "GET /FloatChatLayout.vue HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:48:01] "GET /ChatTab.vue HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:50:37] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:50:37] "GET /FloatChat.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 22:50:37] "GET /CustomMarkdown.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:50:37] "GET /floatchatService.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:50:37] "GET /llmContext.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:50:38] "GET /FloatChatLayout.vue HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:50:39] "GET /ChatTab.vue HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:51:30] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:51:30] "GET /FloatChat.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 22:52:31] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:52:31] "GET /FloatChat.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 22:52:31] "GET /CustomMarkdown.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:52:31] "GET /floatchatService.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:52:32] "GET /FloatChatLayout.vue HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:53:08] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:53:08] "GET /FloatChat.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:53:08] "GET /llmContext.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:53:11] "GET /ChatTab.vue HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:59:19] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:59:19] "GET /FloatChat.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 22:59:19] "GET /CustomMarkdown.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:59:19] "GET /floatchatService.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:59:19] "GET /llmContext.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:59:20] "GET /FloatChatLayout.vue HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:59:22] "GET /ChatTab.vue HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:59:43] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 22:59:43] "GET /FloatChat.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:02:59] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:03:00] "GET /FloatChat.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:03:00] "GET /CustomMarkdown.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:03:00] "GET /floatchatService.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:03:00] "GET /llmContext.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:03:00] "GET /FloatChatLayout.vue HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 23:03:02] "GET /ChatTab.vue HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 23:05:17] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:05:17] "GET /FloatChat.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 23:05:19] "GET /FloatChatLayout.vue HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:05:21] "GET /ChatTab.vue HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:10:11] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:10:11] "GET /FloatChat.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:10:12] "GET /CustomMarkdown.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:10:12] "GET /floatchatService.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:10:12] "GET /llmContext.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:10:12] "GET /FloatChatLayout.vue HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:10:13] "GET /ChatTab.vue HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:12:54] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:12:54] "GET /FloatChat.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 23:12:56] "GET /FloatChatLayout.vue HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:12:57] "GET /ChatTab.vue HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:18:59] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:18:59] "GET /FloatChat.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 23:18:59] "GET /CustomMarkdown.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:18:59] "GET /llmContext.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:18:59] "GET /floatchatService.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:19:01] "GET /FloatChatLayout.vue HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:19:02] "GET /ChatTab.vue HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 23:19:59] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:19:59] "GET /FloatChat.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 23:20:00] "GET /ChatTab.vue HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:20:02] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:20:02] "GET /FloatChat.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:24:04] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:24:04] "GET /FloatChat.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 23:24:05] "GET /CustomMarkdown.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:24:05] "GET /llmContext.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:24:05] "GET /floatchatService.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:24:06] "GET /FloatChatLayout.vue HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:24:09] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:24:09] "GET /FloatChat.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:24:10] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:24:10] "GET /FloatChat.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:24:12] "GET /FloatChat.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:24:12] code 404, message File not found
127.0.0.1 - - [08/Jul/2025 23:24:12] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
127.0.0.1 - - [08/Jul/2025 23:26:14] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:26:14] code 404, message File not found
127.0.0.1 - - [08/Jul/2025 23:26:14] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
127.0.0.1 - - [08/Jul/2025 23:26:15] "GET /FloatChat.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 23:26:29] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:26:29] code 404, message File not found
127.0.0.1 - - [08/Jul/2025 23:26:29] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
127.0.0.1 - - [08/Jul/2025 23:26:29] "GET /FloatChat.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 23:26:30] "GET /FloatChatLayout.vue HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:29:34] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 23:29:34] code 404, message File not found
127.0.0.1 - - [08/Jul/2025 23:29:34] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
127.0.0.1 - - [08/Jul/2025 23:29:35] "GET /FloatChat.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:29:35] "GET /CustomMarkdown.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:29:35] "GET /floatchatService.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:29:36] "GET /FloatChatLayout.vue HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:29:39] "GET /ChatTab.vue HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:47:55] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:47:55] "GET /FloatChat.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 23:47:55] "GET /CustomMarkdown.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:47:55] "GET /floatchatService.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:47:55] "GET /llmContext.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:47:57] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:47:57] "GET /FloatChatLayout.vue HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:47:57] "GET /FloatChat.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:47:58] "GET /FloatChat.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:47:59] code 404, message File not found
127.0.0.1 - - [08/Jul/2025 23:47:59] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
127.0.0.1 - - [08/Jul/2025 23:48:02] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:48:02] "GET /FloatChat.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:48:02] code 404, message File not found
127.0.0.1 - - [08/Jul/2025 23:48:02] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
127.0.0.1 - - [08/Jul/2025 23:49:10] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:49:10] code 404, message File not found
127.0.0.1 - - [08/Jul/2025 23:49:10] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
127.0.0.1 - - [08/Jul/2025 23:49:10] "GET /FloatChat.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 23:49:12] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:49:12] code 404, message File not found
127.0.0.1 - - [08/Jul/2025 23:49:12] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
127.0.0.1 - - [08/Jul/2025 23:49:12] "GET /FloatChat.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:49:14] "GET /ChatTab.vue HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:51:26] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:51:26] "GET /FloatChat.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 23:51:27] code 404, message File not found
127.0.0.1 - - [08/Jul/2025 23:51:27] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
127.0.0.1 - - [09/Jul/2025 00:03:02] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:03:02] "GET /FloatChat.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2025 00:03:02] "GET /CustomMarkdown.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:03:02] "GET /floatchatService.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:03:02] "GET /llmContext.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:03:02] code 404, message File not found
127.0.0.1 - - [09/Jul/2025 00:03:02] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
127.0.0.1 - - [09/Jul/2025 00:03:04] "GET /FloatChatLayout.vue HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:03:06] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:03:06] "GET /FloatChat.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:03:26] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:03:26] "GET /FloatChat.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2025 00:03:27] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:03:27] "GET /FloatChat.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:03:29] "GET /FloatChat.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:03:29] code 404, message File not found
127.0.0.1 - - [09/Jul/2025 00:03:29] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
127.0.0.1 - - [09/Jul/2025 00:03:32] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:03:32] "GET /FloatChat.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:03:32] code 404, message File not found
127.0.0.1 - - [09/Jul/2025 00:03:32] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
127.0.0.1 - - [09/Jul/2025 00:03:38] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:03:38] code 404, message File not found
127.0.0.1 - - [09/Jul/2025 00:03:38] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
127.0.0.1 - - [09/Jul/2025 00:03:38] "GET /FloatChat.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2025 00:03:39] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:03:39] code 404, message File not found
127.0.0.1 - - [09/Jul/2025 00:03:39] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
127.0.0.1 - - [09/Jul/2025 00:03:40] "GET /FloatChat.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:08:26] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:08:26] "GET /FloatChat.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2025 00:08:29] "GET /ChatTab.vue HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:14:26] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:14:26] "GET /FloatChat.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2025 00:14:26] "GET /CustomMarkdown.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:14:26] "GET /floatchatService.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:14:26] "GET /llmContext.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:14:28] "GET /FloatChatLayout.vue HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2025 00:14:29] "GET /ChatTab.vue HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:17:04] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:17:04] "GET /FloatChat.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2025 00:17:04] "GET /FloatChatLayout.vue HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2025 00:30:38] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:30:38] "GET /FloatChat.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2025 00:30:38] "GET /CustomMarkdown.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:30:38] "GET /floatchatService.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:30:38] "GET /llmContext.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:30:40] "GET /FloatChatLayout.vue HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:30:40] "GET /ChatTab.vue HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2025 00:33:35] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:33:35] "GET /FloatChat.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2025 00:33:36] "GET /FloatChatLayout.vue HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:33:37] "GET /ChatTab.vue HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:35:08] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:35:08] "GET /FloatChat.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2025 00:36:02] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:36:02] "GET /FloatChat.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2025 00:36:04] "GET /FloatChatLayout.vue HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:36:05] "GET /ChatTab.vue HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:37:22] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:37:22] "GET /FloatChat.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2025 00:40:28] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:40:28] "GET /FloatChat.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2025 00:40:28] "GET /FloatChatLayout.vue HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:40:29] "GET /ChatTab.vue HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:41:00] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:41:00] "GET /FloatChat.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2025 00:43:15] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:43:15] "GET /FloatChat.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:43:16] "GET /CustomMarkdown.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:43:16] "GET /llmContext.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:43:16] "GET /floatchatService.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:43:17] "GET /FloatChatLayout.vue HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:43:18] "GET /ChatTab.vue HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:44:00] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:44:00] "GET /FloatChat.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2025 00:44:42] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:44:42] "GET /FloatChat.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2025 00:45:48] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:45:49] "GET /FloatChat.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2025 00:59:32] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:59:32] "GET /FloatChat.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2025 00:59:32] "GET /CustomMarkdown.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:59:32] "GET /floatchatService.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:59:32] "GET /llmContext.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:59:33] "GET /FloatChatLayout.vue HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:59:34] "GET /ChatTab.vue HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 01:02:37] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 01:02:37] "GET /FloatChat.css HTTP/1.1" 304 -
